x,y,z
10796.39,53208.71,11.1
10807.11,53180.54,11.1
10810.38,53209.12,11.2
10813.98,53164.68,11.3
10828.54,53175.27,11.2
10822.93,53152.21,11.2
10808.01,53147.41,11.2
10795.99,53157.27,11.3
10795.11,53171.19,11.1
10790.83,53189.71,11.1
10785.34,53213.26,11.2
10781.9,53231.45,11.3
10772.07,53226.55,23.5
10775.16,53210.85,23.3
10777.94,53191.72,23.3
10781.23,53176.07,23.5
10782.62,53158.39,23.4
10790.19,53144.04,23.6
10795.76,53139.1,23.5
10804.11,53136.62,23.4
10813.08,53137.3,23.5
10822.13,53139.32,23.6
10832.93,53142.36,23.5
10840.46,53144.68,23.6
10799.14,53247.65,11.2
10796.03,53239.8,11.3
10794.72,53230.82,11.4
10788.41,53223.86,11.4
10870.79,53080.44,23.6
10858.46,53052.22,23.8
10864.99,53065.13,23.1
10889.4,53072.52,23.2
10852.62,53040.69,23.8
10851.66,53025.64,23.6
10876.37,53030.14,23.2
10875.31,53057.63,23.3
10876.65,53014.88,23.1
10884.64,53043.37,23.1
10898.0,53052.41,23.0
10900.66,53072.08,23.2
10877.06,53100.0,23.7
10894.72,53027.76,23.6
10937.98,53275.5,23.2
10937.86,53358.47,23.3
10935.23,53369.72,23.3
10934.81,53383.92,23.4
10717.22,53872.55,23.8
10710.04,53824.05,23.8
10681.22,53843.22,24.8
10658.59,53855.96,24.8
10647.8,53873.64,24.6
10643.19,53891.22,24.4
10650.43,53891.8,24.4
10661.94,53893.63,24.0
10657.57,53878.43,23.1
10675.87,53892.21,23.5
10686.04,53884.08,23.4
10849.96,53417.8,11.6
10850.38,53435.07,11.6
10849.01,53448.9,11.5
10835.8,53458.79,11.5
10848.12,53465.0,23.5
10859.97,53458.98,23.1
10863.89,53437.66,23.1
10835.11,53417.78,11.6
10841.1,53347.56,11.8
10816.7,53260.35,11.8
10844.6,53364.42,11.8
10837.66,53330.16,11.9
10838.01,53435.01,11.5
10830.16,53312.26,11.8
10843.65,53379.21,11.7
10832.15,53264.98,11.8
10847.89,53250.19,11.2
10850.33,53223.12,11.2
10827.37,53225.63,11.0
10814.52,53241.97,11.1
10837.99,53154.03,11.1
10848.47,53164.33,11.1
10849.96,53177.23,11.2
10852.5,53191.99,11.2
10862.16,53201.75,11.3
10870.75,53209.49,11.3
10871.47,53216.04,11.3
10864.86,53228.56,11.2
10862.65,53247.57,11.3
10857.96,53263.17,11.5
10850.12,53272.26,11.8
10850.02,53285.66,11.7
10846.33,53300.35,11.7
10845.36,53315.3,11.8
10849.31,53336.75,11.9
10853.82,53354.81,11.8
10856.6,53373.18,11.7
10855.02,53389.21,11.6
10850.1,53404.93,11.5
10841.55,53406.44,11.6
10863.38,53425.77,23.2
10863.71,53415.57,23.3
10864.96,53402.56,23.2
10866.4,53392.46,23.0
10868.44,53384.6,23.1
10867.43,53372.17,23.2
10866.02,53355.34,23.1
10862.68,53342.96,23.0
10856.99,53329.01,23.1
10857.65,53321.95,23.0
10857.85,53311.33,23.2
10862.06,53297.11,23.1
10863.04,53287.0,23.2
10865.14,53277.22,23.3
10869.83,53266.75,23.3
10873.45,53254.39,23.2
10875.82,53243.82,23.4
10879.28,53231.85,23.5
10880.13,53223.28,23.4
10883.5,53210.0,23.5
10879.9,53197.61,23.5
10874.54,53194.52,23.6
10867.46,53190.19,23.6
10863.14,53182.36,23.6
10863.38,53169.1,23.6
10859.64,53159.74,23.6
10853.36,53154.54,23.5
10845.2,53148.07,23.7
10927.46,53022.27,23.2
10941.61,53050.21,23.1
10902.51,53008.6,23.0
10947.73,53095.9,23.1
10934.3,53130.45,23.2
10928.3,53153.56,23.3
10936.76,53167.62,23.3
10940.1,53157.09,23.4
10942.57,53142.76,23.3
10947.45,53121.55,23.2
10953.12,53111.92,23.1
10956.04,53097.5,23.1
10960.16,53084.36,23.0
10952.15,53073.75,23.2
10950.29,53061.63,23.1
10948.57,53046.95,23.2
10944.26,53030.53,23.2
10939.2,53012.56,23.3
10931.21,53008.84,23.3
10917.55,53012.02,23.3
10903.3,53000.86,23.4
10883.21,53001.65,23.2
10863.0,53005.0,23.1
10865.75,52987.96,35.6
10880.82,52990.29,35.8
10894.08,52990.71,35.7
10907.31,52992.82,35.8
10917.68,53000.8,35.7
10929.61,52996.94,35.7
10938.47,52999.13,35.8
10946.11,53005.85,35.7
10955.18,53015.04,35.6
10960.95,53026.14,35.7
10964.46,53035.53,35.8
10966.16,53046.51,35.7
10965.33,53056.23,35.7
10965.1,53066.03,35.8
10970.57,53075.99,35.8
10970.44,53087.07,35.9
10969.22,53096.93,35.7
10966.96,53108.66,35.6
10962.15,53117.87,35.6
10959.63,53126.29,35.8
10958.63,53135.7,36.0
10957.18,53144.92,36.0
10953.82,53154.08,36.1
10940.39,53346.5,23.3
10936.26,53335.47,23.3
10950.55,53218.82,23.2
10951.47,53334.42,37.5
10689.02,53697.39,11.3
10714.42,53743.99,11.8
10712.24,53732.32,11.7
10697.11,53649.79,11.5
10693.28,53661.45,11.5
10692.86,53668.11,11.4
10690.29,53677.97,11.4
10689.75,53685.17,11.3
10688.62,53708.3,11.3
10691.51,53719.12,11.3
10694.57,53727.14,11.5
10702.11,53737.11,11.7
10704.97,53745.95,11.8
10708.61,53751.95,11.9
10712.56,53754.98,11.9
10724.63,53752.89,11.9
10728.12,53737.95,11.8
10731.09,53730.39,11.4
10741.77,53729.9,23.5
10738.32,53746.35,23.3
10734.69,53758.88,23.5
10728.79,53764.45,23.6
10720.39,53768.88,23.9
10707.79,53770.25,23.9
10700.51,53766.21,23.8
10694.81,53757.34,24.0
10689.04,53749.1,23.9
10682.64,53740.16,23.9
10676.93,53723.19,24.2
10676.13,53703.69,24.4
10677.53,53692.43,24.5
10679.04,53677.94,24.2
10681.3,53667.23,24.1
10683.18,53659.97,24.0
10689.77,53648.74,23.7
10694.97,53526.6,14.6
10729.54,53462.51,6.5
10723.46,53478.49,7.9
10718.04,53491.09,9.8
10707.17,53506.38,12.0
10716.07,53490.26,11.9
10714.91,53833.93,23.6
10703.7,53843.39,23.6
10697.56,53849.53,23.6
10690.59,53854.38,23.4
10682.27,53860.67,23.1
10664.23,53872.5,23.0
10672.64,53865.74,23.1
10686.04,53884.08,23.1
10689.79,53878.66,23.3
10694.5,53872.38,23.3
10706.32,53871.83,23.7
10721.3,53862.58,23.8
10728.91,53857.15,23.7
10732.81,53848.26,23.8
10727.8,53839.66,23.8
10731.58,53831.8,23.7
10751.44,53832.76,38.7
10747.47,53841.06,38.5
10748.61,53852.0,38.4
10748.06,53855.11,36.0
10741.4,53865.91,36.2
10729.5,53871.66,36.0
10717.69,53881.89,35.7
10710.9,53887.86,36.0
10706.89,53894.3,36.1
10701.13,53896.22,36.3
10693.63,53901.92,36.5
10682.61,53905.53,36.5
10925.67,53167.05,23.2
10937.42,53190.19,23.2
10932.38,53217.44,23.1
10934.54,53241.16,23.0
10924.93,53224.89,23.0
10957.33,53252.18,23.2
10958.84,53261.45,23.2
10929.35,53361.28,23.3
10930.13,53396.02,23.6
10930.12,53324.9,23.3
10936.68,53319.48,23.3
10930.06,53310.56,23.2
10938.94,53304.67,23.2
10933.3,53288.75,23.1
10942.07,53292.28,23.2
10949.47,53287.11,23.3
10952.31,53274.26,23.3
10959.57,53267.58,23.2
10940.66,53260.62,23.1
10954.57,53243.48,23.2
10949.15,53237.25,23.3
10942.88,53231.26,23.2
10944.39,53225.59,23.1
10959.98,53206.73,23.2
10935.97,53203.42,23.1
10955.02,53186.42,23.2
10942.83,53179.61,23.3
10957.93,53194.74,23.2
10954.56,53166.05,36.2
10958.74,53170.06,36.2
10965.97,53174.14,36.0
10969.07,53181.76,36.1
10970.29,53189.23,36.0
10972.19,53197.24,36.1
10972.98,53207.78,35.9
10969.78,53218.02,36.0
10961.16,53225.54,36.1
10957.08,53229.71,36.0
10964.37,53240.11,36.0
10968.08,53249.87,37.0
10970.81,53264.71,37.1
10967.85,53273.36,37.0
10963.82,53279.22,36.7
10960.72,53291.76,37.5
10956.05,53305.6,37.5
10950.33,53318.93,37.4
10953.13,53346.06,37.5
10949.99,53360.6,37.8
10946.98,53371.7,38.1
10946.38,53385.12,38.0
10942.2,53398.13,37.7
10928.24,53116.28,23.6
10936.32,53104.93,23.6
10936.61,53094.36,23.6
10936.69,53083.79,23.4
10937.85,53071.48,23.3
10934.21,53059.96,23.4
10930.57,53044.44,23.3
10930.05,53035.33,23.3
10924.23,53030.96,23.3
10915.12,53029.65,23.3
10905.21,53026.23,23.2
10895.08,53009.91,23.3
10883.64,53008.01,23.2
10873.88,53004.66,23.1
10922.99,53376.78,22.9
10919.06,53364.85,23.0
10921.1,53350.99,23.1
10926.12,53346.19,23.1
10925.46,53336.41,23.0
10920.66,53324.04,23.1
10921.82,53311.49,23.3
10924.88,53300.0,23.4
10921.97,53290.88,23.4
10919.13,53282.35,23.4
10918.47,53265.15,23.4
10923.71,53252.27,23.4
10922.26,53246.14,23.4
10912.13,53236.81,23.5
10916.06,53214.36,23.5
10920.51,53197.54,23.5
10921.31,53182.16,23.4
10918.76,53174.73,23.4
10717.5,53725.58,11.3
10708.63,53720.33,11.4
10697.56,53716.63,11.2
10690.18,53708.19,11.2
10696.63,53698.75,11.2
10701.35,53686.21,11.4
10701.43,53672.48,11.4
10697.77,53661.28,11.5
10829.76,53340.43,11.6
10822.28,53318.97,11.5
10819.13,53310.71,11.6
10826.51,53301.16,11.7
10833.49,53297.13,11.8
10839.3,53289.85,11.8
10838.51,53279.7,12.0
10837.3,53271.06,12.0
10822.1,53272.43,11.8
10806.79,53267.07,11.4
10806.31,53238.65,11.2
10812.91,53221.68,11.2
10826.03,53204.83,11.1
10832.88,53188.81,11.0
10838.27,53173.43,11.2
10830.04,53444.81,11.6
10830.48,53453.67,11.5
10923.27,53207.23,23.5
10910.6,53167.51,23.5
10913.58,53155.19,23.6
10919.05,53137.99,23.7
10917.96,53127.15,23.8
10828.58,53351.64,11.6
10829.56,53360.38,11.7
10833.49,53369.25,11.5
10835.17,53377.61,11.4
10834.87,53386.85,11.5
10833.2,53395.73,11.5
10827.89,53403.59,11.4
10823.07,53418.04,11.5
10802.28,53256.67,11.2
10825.0,53435.95,11.5
8900.0,53191.75,508900
8907.0,53198.75,4553200
10817.02,53590.78,23.8
10824.05,53598.41,24.1
10834.07,53606.71,24.4
10846.98,53609.9,24.6
10873.7,53419.53,23.2
10871.93,53429.05,23.0
10872.62,53459.83,24.8
10866.31,53454.62,23.8
10862.98,53460.46,23.8
10872.47,53471.17,25.2
10873.1,53481.5,25.0
10866.01,53480.7,25.1
10873.13,53497.37,25.0
10862.14,53493.01,24.8
10872.33,53510.05,25.2
10859.19,53510.59,24.1
10867.9,53517.96,25.3
10866.09,53533.07,25.2
10861.91,53550.55,25.1
10849.92,53599.41,24.0
10837.05,53595.81,23.5
10854.38,53521.8,23.9
10849.3,53540.62,24.2
10828.76,53588.67,23.5
10839.38,53529.28,24.0
10823.12,53558.14,23.3
10818.76,53571.53,23.2
10816.09,53584.94,23.5
11022.75,53552.73,86.8
11194.07,53901.4,160.8
11145.97,54036.41,157.5
11149.07,54033.89,157.5
10522.25,54200.6,46.0
10522.21,54206.85,48.5
10540.83,54152.53,46.0
10831.37,54001.06,62.4
10824.58,54015.73,62.5
10816.03,54022.85,62.3
10804.68,54030.22,62.8
10955.22,53866.31,60.0
10784.75,53705.83,24.1
10737.29,53859.01,38.2
10644.04,54485.3,75.0
10768.7,54296.66,75.2
10701.95,54402.75,74.4
10732.64,54374.91,75.5
10745.68,54351.26,75.6
10707.53,54370.14,75.7
10755.66,54323.55,75.8
10723.93,54396.79,74.7
10761.51,54310.16,75.6
10717.45,54412.73,74.2
10671.58,54468.71,74.9
10700.0,54429.65,74.4
10695.19,54448.16,74.4
10623.2,54481.47,74.8
10739.29,54362.48,75.6
10588.18,54474.9,72.7
10600.92,54483.42,73.0
10623.72,54494.17,75.0
10640.08,54500.25,75.0
10656.04,54495.87,75.0
10667.97,54490.99,75.1
10680.22,54483.55,75.0
10690.86,54466.29,74.9
10704.23,54459.21,74.5
10712.53,54450.72,74.6
10718.91,54440.42,74.6
10728.31,54428.27,74.7
10732.61,54418.59,74.6
10736.17,54407.9,74.7
10740.17,54396.15,74.7
10744.9,54384.16,75.5
10750.9,54373.42,75.7
10758.72,54360.58,75.6
10761.46,54362.24,87.7
10751.78,54377.87,87.6
10744.35,54394.59,88.0
10740.84,54405.82,88.1
10737.11,54418.23,88.2
10734.57,54427.34,88.2
10731.2,54439.36,88.0
10723.72,54451.75,88.0
10714.85,54461.55,88.0
10696.56,54470.33,88.3
10688.97,54478.33,88.2
10682.06,54488.42,88.2
10670.74,54494.95,88.4
10655.83,54501.87,88.3
10635.94,54506.85,88.3
10621.63,54500.64,88.1
10606.72,54495.65,88.2
10594.36,54487.69,88.2
10598.86,54368.51,63.6
10613.7,54365.22,63.6
10687.67,54350.77,63.3
10723.85,54281.45,64.6
10670.96,54368.54,63.5
10621.41,54384.75,63.7
10714.1,54288.81,64.5
10648.51,54374.68,63.8
10709.65,54270.82,64.1
10597.55,54387.12,63.7
10694.04,54323.88,63.6
10706.73,54305.67,63.8
10560.03,54357.85,62.8
10543.51,54341.76,62.9
10534.56,54318.01,63.2
10583.57,54368.39,63.0
10575.7,54339.55,62.9
10522.06,54334.33,63.6
10509.9,54315.45,64.6
10515.65,54339.39,63.6
10523.93,54347.6,63.6
10536.22,54353.46,62.9
10544.35,54361.2,62.9
10553.47,54368.26,63.0
10562.74,54374.54,63.1
10575.32,54390.49,63.1
10589.54,54406.97,63.8
10605.42,54409.69,63.8
10616.52,54404.02,63.8
10626.45,54400.95,63.8
10637.64,54399.9,63.7
10644.51,54396.74,63.7
10654.02,54395.47,63.8
10667.73,54388.5,63.7
10683.1,54383.95,63.5
10692.28,54373.29,63.4
10698.37,54361.85,63.2
10704.41,54351.72,63.3
10710.96,54334.21,63.8
10716.4,54318.43,63.6
10721.11,54302.7,64.3
10724.04,54292.52,64.5
10720.81,54267.06,64.0
10719.87,54253.17,64.0
10720.52,54238.2,64.2
10728.7,54244.82,75.2
10729.28,54254.71,75.8
10731.29,54264.37,75.8
10731.86,54277.22,76.2
10732.86,54293.11,75.2
10731.43,54303.84,75.6
10726.78,54316.31,75.7
10721.22,54326.78,75.6
10716.69,54338.92,75.6
10710.27,54353.61,75.7
10704.69,54364.22,75.7
10698.41,54376.04,75.0
10690.55,54382.21,74.7
10677.92,54393.31,74.6
10666.85,54400.0,74.7
10656.85,54405.61,75.9
10646.89,54408.6,75.9
10638.42,54412.04,75.8
10628.13,54415.06,75.8
10618.14,54417.65,75.8
10607.41,54421.9,73.0
10596.26,54421.71,72.2
10588.38,54422.21,72.2
10578.03,54418.3,72.0
10570.34,54410.73,72.0
10562.2,54401.51,71.9
10554.32,54392.95,75.8
10546.07,54383.88,75.8
10537.05,54374.23,75.6
10528.73,54364.01,75.5
10518.61,54357.14,75.5
10506.99,54347.6,75.5
10505.28,54328.6,74.6
10525.22,54182.7,46.1
10516.25,54161.32,46.0
10499.26,54156.05,45.5
10528.35,54173.18,46.0
10503.09,54144.84,45.6
10591.1,54144.78,47.7
10573.29,54145.45,45.3
10549.99,54146.49,45.6
10537.82,54163.03,46.4
10538.71,54183.75,46.5
10534.83,54192.17,46.5
10531.59,54207.14,46.5
10531.74,54212.94,48.5
10544.71,54220.65,61.4
10547.42,54213.13,60.5
10550.22,54204.12,59.6
10552.3,54195.67,61.2
10551.95,54181.34,59.5
10785.88,53718.5,24.5
10798.78,53722.32,25.6
10806.21,53726.43,25.6
10816.81,53725.81,25.6
10829.4,53710.1,25.6
10836.68,53699.31,24.2
10845.83,53694.48,24.6
10855.86,53693.31,26.1
10867.87,53703.17,26.1
10875.69,53697.2,26.1
10882.43,53680.71,25.3
10879.56,53717.6,36.6
10867.81,53717.05,38.1
10860.32,53713.98,38.1
10858.07,53712.55,39.0
10846.01,53707.88,39.0
10836.17,53720.68,39.0
10829.7,53735.41,39.1
10820.63,53743.78,39.0
10807.25,53744.46,39.0
10796.88,53739.02,39.1
10789.47,53733.31,39.0
10939.92,53871.31,48.1
10924.81,53888.37,48.5
10912.03,53897.66,48.5
10915.09,53903.46,60.9
10900.09,53907.51,61.3
10891.69,53891.57,48.0
10960.76,53834.53,48.1
10943.68,53850.75,48.4
10930.11,53863.88,48.2
10911.94,53883.71,48.4
10878.16,53902.11,48.3
10867.59,53916.05,48.3
10800.15,54024.21,48.5
10820.6,54010.57,48.9
10827.92,53999.21,47.7
10851.16,53952.25,48.8
10860.22,53945.79,48.8
10865.06,53937.07,48.7
10872.39,53926.59,48.5
10880.49,53911.32,48.3
10892.43,53903.36,48.5
10934.19,53879.92,48.4
10948.04,53862.68,48.1
10942.9,53876.48,60.0
10938.52,53883.5,60.4
10931.76,53890.33,60.6
10927.47,53896.93,60.9
10887.09,53911.68,61.4
10883.05,53918.8,61.6
10874.38,53929.9,61.5
10868.82,53939.34,61.6
10865.91,53948.67,61.6
10855.28,53956.23,61.6
11117.03,53555.42,95.5
11137.79,53559.1,96.0
11148.47,53559.83,96.1
11093.56,53543.4,96.0
11104.83,53542.81,95.6
11113.64,53545.23,95.5
11124.95,53549.83,95.6
11137.18,53549.64,96.0
11150.49,53551.2,96.3
11159.05,53554.16,96.3
11156.77,53561.69,96.3
11151.81,53566.92,96.4
11144.5,53575.35,96.3
11122.92,53632.99,87.5
11123.34,53613.24,87.6
11036.17,53542.37,86.0
11065.77,53561.19,86.6
11076.95,53560.91,86.8
11089.54,53565.55,87.7
11086.7,53577.0,87.7
11112.57,53598.42,87.6
11105.32,53582.76,87.7
11106.9,53537.2,102.2
11120.6,53542.76,103.6
11133.5,53542.47,104.8
11152.05,53544.46,105.0
11162.93,53549.41,105.2
11165.5,53555.17,105.3
11162.33,53563.3,105.3
11159.09,53568.72,105.6
11150.8,53575.44,106.1
11023.12,53501.28,87.3
11032.6,53516.02,86.8
11037.89,53526.41,86.5
11044.36,53533.37,86.3
11049.93,53539.13,86.2
11055.03,53546.26,86.4
11060.51,53550.01,86.5
11067.2,53553.68,86.6
11074.25,53554.06,86.6
11082.57,53553.4,86.9
11090.74,53555.0,87.3
11096.91,53558.29,87.5
11104.05,53562.78,87.4
11111.1,53568.31,87.7
11116.14,53574.51,87.7
11115.47,53581.55,87.7
11115.3,53590.83,87.6
